,název
82343,V zajetí stínu
82345,Attack of the Puppet People
82346,100 Tears
82348,Camp Blood
82350,Měsíční past
82351,Hansel e Gretel
82352,Slash-in-the-Box
82353,Vlak hrůzy
82356,Shed of the Dead
82357,Comedown
82358,Doom Asylum
82359,Doppelganger
82360,Tma
82361,Hell House LLC II: The Abaddon Hotel
82362,Viejos
82363,Zankoku hanten
82364,Řeka velkého krokodýla
82365,Trick or Treats
82367,Creep 2
82368,Boy Eats Girl
82369,Bride of the Gorilla
82370,Pora mroku
82371,Clockwork
82372,Las Tias
82373,Podezřelé chování
82374,Kereta Berdarah
82375,Trog
82377,Killer Party
82378,Tai hong
82380,Masakr na univerzitě
82381,The Caller
82382,Kolskaja sverchglubokaja
82383,Curse of the Crimson Altar
82385,All My Friends Are Dead
82386,Baba Yaga
82387,Ghoulies III: Ghoulies Go to College
82388,Seminář
82389,The Rake
82393,The Corpse Vanishes
82394,Ve spánku
82395,HellBent
82397,Dům u bažiny
82398,Dům šneků
82400,Poslední hodina
82401,Satan's Playground
82402,Kurojuri danči
82403,Hněv duší
82404,Netvor přichází
82405,Long khong 2
82407,Blood Sabbath
82408,Chůva na zabití: Krvavá královna
82410,Prokletí rodu Suttonů
82411,Předvolba 976
82412,Zrzavý pasažér
82413,Quando Alice ruppe lo specchio
82414,Kôsoku bâba
82415,T is for Termite
82416,Barva z vesmíru
82417,Meandr
82418,Noční můra v Porn Street... po stopách Freddyho!
82419,Anna a apokalypsa
82421,Things Will Be Different
82422,Frankenstein: Děs a hrůza
82424,Karanténa
82425,Prom Night III: The Last Kiss
82426,Lèvres de sang
82427,The Occupants
82428,The Sandman
82432,Smrtící dávka
82434,Bloodsucking Bastards
82435,The Russian Bride
82437,Evils of the Night
82438,Pyega
82439,Dark Nuns
82441,Atomové gymnázium 2
82442,Něvesta
82443,Al morir la Matinee
82444,Ju-on: Owari no hajimari
82445,Borderline
82446,The Eyes Diary
82447,Temurun
82449,Útok krabích monster
82450,Nedívej se
82451,Loď duchů
82452,Planeta upírů
82454,Dead Mary
82455,México Bárbaro II
82459,Chuckyho kletba
82462,Anthropophagus 2
82463,Autopsy
82465,Poslední dny na Marsu
82467,Bed of the Dead
82468,Antisocial 2
82469,12/12/12
82471,Metal Creepers
82473,The Curse of the Mummy's Tomb
82474,Broken Bird
82475,Visceral: Entre las cuerdas de la locura
82478,Ahí va el diablo
82479,Pár nenormálních aktivit 2
82483,Ďáblova kořist
82485,The Gates of Hell
82486,Dark Remains
82488,Amoklauf
82489,Alien Terminator
82490,Alarido del terror
82491,Yu lan shen gong
82493,Bunhongsin
82494,Famine
82495,Broken Night
82497,Chime
82501,Invasive
82503,"Seddok, l'erede di Satana"
82504,Chawoo
82507,Axe Massacre
82508,Werewolf in a Women's Prison
82509,The Portal
82510,Clownhouse
82514,Belzebuth
82515,Syn temnoty
82517,Bloody New Year
82518,Panic Button
82519,Amityville: Dollhouse
82521,Psycho Goreman
82522,Nikdo tě nezachrání
82523,Guest
82526,Džukai mura
82527,Koncert pro Satana
82528,Kočovníci smrti
82529,Evil Bong 3-D: The Wrath of Bong
82530,Mozek
82535,Saw 5
82539,Noční letec
82540,Vzpoura mutantů
82543,Maniac Tales
82544,Pojď si se mnou hrát
82545,Eating Miss Campbell
82546,Nikos
82547,Necrofobia
82548,Nicota
82551,Masakr
82552,T is for Twin
82556,House of Good and Evil
82557,U Is for Utopia
82560,Heartstopper
82562,The Black String
82564,Vládce prokletých přání 2
82565,La abuela
82573,Mangue Negro
82575,Akai misshitsu (heya): Kindan no ôsama geemu
82576,Socialistický Zombi Mord
82577,Něco je v hlíně
82578,Pomsta živých smolařů
82580,Dům na konci ulice
82583,You'll Never Find Me
82584,Musa
82585,Belenggu
82586,Monster from Green Hell
82589,Zombie 90. let: Extrémní nákaza
82590,Atroz
82591,M is for Mind Meld
82593,The Cop Cam
82595,Another WolfCop
82597,Puppet Master: The Littlest Reich
82600,Beating Hearts
82601,Bad Candy
82603,Stitches
82604,Body Parts
82605,Někdo klepe na dveře
82607,Svatyně zla
82608,999-9999
82609,Záhadný tající muž
82610,Daddy's Head
82611,Bliss
82612,The Blue Drum
82613,Fired
82614,Mlýnek na maso
82615,Schoolgirls in Chains
82616,Crush the Skull
82617,Experiment 17
82619,Nightmare Cinema
82622,Maniac Nurses Find Ecstasy
82626,Q is for Questionnaire
82627,Frakce
82628,Mučedník smrti
82630,Cheuat gon chim
82631,Mara
82632,Corpse Party
82633,Dark House
82634,Fractured
82635,Knife Edge
82636,Skeleton Crew
82639,Don't Knock Twice
82641,The Rage
82642,The Devil's Men
82643,Sorry About the Demon
82644,Night of the Zombies
82645,Trhlina
82646,The First Wave
82647,Infinity Pool
82648,Kučisake onna
82649,Historie okultismu
82653,WolfCop
82654,Drákulův sluha
82655,Piraňa 3D
82656,Zpětná vazba
82658,Territoires
82659,Andělé temnot
82660,Emelie
82661,Vtělení ďábla
82662,Amjeon
82663,Noc králíků
82665,La bestia uccide a sangue freddo
82667,Midnight Movie
82668,Klasický horor
82669,Poslední vzdech
82670,The Sick House
82672,Pridyider
82674,An American Ghost Story
82675,The Supernaturals
82676,Silent Hill: Anniversary
82678,The Brain Eaters
82679,Oculus: Chapter 3 - The Man with the Plan
82680,Akanbo šódžo
82681,"Ella Lola, a la Trilby"
82683,Na lince je vrah
82684,The Night
82685,Levý břeh
82687,Black Hole
82688,The Cleansing Hour
82689,Il bosco fuori
82691,V/H/S/94
82692,E is for Equilibrium
82693,Shock Waves
82695,Held
82697,Demonic
82698,Dveře do ticha
82700,La bimba di Satana
82701,Jaga Pocong
82702,Stirring
82709,Veneciafrenia
82710,Prvotní síla
82712,A Semente do Mal
82715,Hippocampus M 21th
82716,Paranormal Activity 3
82717,The Rental
82718,Horror in the High Desert
82719,Tajemná hrobka
82720,Basket Case 2
82721,BreadCrumbs
82722,31
82724,Helldriver
82726,Even Lambs Have Teeth
82727,Skřítkové
82730,Tales of Halloween
82733,Vlčí muž
82734,Fun Size Horror: Volume One
82735,Sportu zmar!
82736,7eventy 5ive
82738,Minutes Past Midnight
82740,Silent Retreat
82741,Feed the Gods
82743,Pekelný dům: Počátek
82744,Evil Laugh
82745,Vražedný puls
82749,No entres
82751,Děs přichází z hlubin
82753,Curse III: Blood Sacrifice
82754,Killer Holiday
82755,The Windigo
82757,Aenigma
82758,The Helpers
82760,M is for Marauder
82762,The Rule of Jenny Pen
82764,The Mummy's Shroud
82765,Blood
82768,Sněhurka - Příběh hrůzy
82770,Inkubus
82771,"The Beast with 1,000,000 Eyes"
82773,The Twin
82774,Jaula
82777,Kogyaru-gui: Oosaka terekura hen
82779,Vzteklina
82781,Home Sweet Home - Wo das Böse wohnt
82782,Winchester: Sídlo démonů
82783,Šílenství Debory Loganové
82784,The Curse of the Komodo
82785,Butchers Book Two: Raghorn
82786,Inunaki Mura
82787,Phi ha Ayothaya
82788,Blood Scarab
82789,Krváček
82791,Dictado
82792,Tajemný zabiják
82793,A Perfect Child of Satan
82794,Dollface
82795,Hotel Inferno 3: The Castle of Screams
82798,Ďáblova dcera
82799,Pohroma ve stříkačce aneb Otrlá primadona
82800,Džisacu manual
82801,Les Démoniaques
82802,Saw 4
82803,"Obřady, černá magie a tajné orgie 14. století"
82805,Předvolání do pekla
82806,Cold Blood
82807,Siccîn
82808,Pronásledovatelé
82813,Teddy
82814,Pokrm Bohů
82815,Anatomie
82816,Chramst!
82817,Gingerdead Man 3: Saturday Night Cleaver
82819,H Project
82820,The Shed
82821,Ghoulies II
82823,Yeogogoedam
82824,New Toy
82825,The Death That Awaits
82827,Nv gui qiao
82828,Who Invited Them
82831,Džuon: Široi ródžo
82835,Rusalka: Ozero mjortvych
82836,Špalíček otrlých pohádek
82837,Porcelain Rising
82839,Exists
82840,Zabít Katie Malone
82842,Last Straw
82844,The Facility
82845,What Keeps You Alive
82847,Lupiči těl
82848,The Hole in the Ground
82849,The Hexecutioners
82850,The Blackcoat's Daughter
82852,Deadtectives
82853,Gosa: pieui joonggangosa
82857,Not So Fast
82858,Kilómetro 31
82859,Khew ar-khard
82861,The Man Who Loved Flowers
82864,Sobota čtrnáctého
82865,Krev za krev
82866,Needle
82867,Dr. Jekyll a slečna Hyde
82868,Upír z Feratu
82870,Parlor
82874,Meridian
82875,Nocturna
82876,Smrti napospas
82877,Děs v prádelně
82878,Grafted
82879,Night of the Blood Beast
82880,Sledovaní
82881,Hlasy mrtvých
82882,Nekromantik 2
82883,Chilling Visions: 5 Senses of Fear
82884,Head Count
82885,Alien Dead
82886,Deep Fear
82888,Vengeance
82889,Pár nenormálních aktivit
82890,The Harbinger
82893,To All a Good Night
82894,The Toll
82896,666: The Child
82897,Out of Order
82898,Braek
82899,Modus Anomali
82900,Krvekrásky
82901,Unseen
82902,Trespassers
82903,Ta paidia tou Diavolou
82904,Kardinal
82907,Beware! The Blob
82908,The Cleaning Lady
82909,The Ward
82910,American Guinea Pig: Bouquet of Guts and Gore
82911,Zmeškaný hovor II
82913,Zombie Island Massacre
82914,I Eat Your Skin
82916,Rjad 19
82917,Masakr na holčičím večírku 3
82918,Dead Night
82919,Slapface
82920,Tai Hong Tai Hien
82921,Jaga. Košmar ťomnogo lesa
82922,Masakr nastřelovačkou
82923,Dude Bro Party Massacre III
82926,Sick Girl
82928,Les Morsures de l'aube
82929,Alyce Kills
82930,In Their Skin
82931,Di Ambang Kematian
82933,La Llorona: Prokletá žena
82934,Poslední nás zachrání
82936,Americký vlkodlak v Paříži
82937,Satan's Cannibal Holocaust
82939,Ballad in Blood
82940,Before After
82941,Curse of the Blind Dead
82942,August Underground's Penance
82944,Tak trochu zombie
82946,Havenhurst
82947,Paranormal Activity
82948,Ada: Zombilerin dügünü
82949,Atomové gymnázium
82950,Ogroff
82951,The Corridor
82952,Čerstvý maso
82954,Někdo na druhé straně
82957,The Radleys
82960,Don't Let Go
82961,Daddy's Girl
82963,Survival of the Dead
82964,Upírky
82965,Babycall
82967,Brána temnoty
82969,Velvet Buzzsaw
82970,Luna de miel
82971,M is for Malnourished
82974,Mikey
82975,True Fiction
82976,Hladová noc
82977,You're Killing Me
82978,Brutal
82979,Still/Born
82980,Scare Package
82981,Jiná perspektiva
82982,The Dead Outside
82983,Krvežíznivý strach ve městě
82986,Dítě z Manhattanu: Ďábel přichází
82987,The Astro-Zombies
82988,Shocker
82990,Hounded
82991,Dying Breed
82992,Open Graves
82993,Bodom
82994,Větrný démon
82995,House Hunting
82996,Na tripu
82999,The Wasp Woman
83000,La Petite Mort 2: Nasty Tapes
83003,Open 24 Hours
83004,Krazy House
83005,Studentská těla
83006,Organ Trail
83007,S.U.M. 1
83009,Sinderella
83010,Sissy
83011,Černá skříňka
83014,สวยตายล่ะมึง
83016,Attonitas
83019,Zombie Driftwood
83021,Buranský masakr
83022,Noční anděl
83025,Neon Demon
83026,Bone Sickness
83027,Benny Loves You
83028,Nebojácní
83029,Lifechanger
83030,Double Blind
83031,Děs v hlavě
83032,World War Dead: Rise of the Fallen
83033,Sexy čarodějky
83034,The Curse of Humpty Dumpty
83035,The Bunnyman Massacre
83036,Sweet Curse
83040,Kukuřičné děti
83041,Gingerclown
83044,Residue
83045,Condemned
83048,Killer Pad
83049,Démon zatracení
83052,Hypochondriac
83053,Afflicted.
83054,Komodo
83055,Dracula - milostný příběh
83056,Smrtící smyčka 3
83057,Nebezpečné představy
83058,Growing Out
83059,T is for Teratism
83062,Scanner 2: Volkinova pomsta
83065,Reipu zonbi: Lust of the dead 2
83066,Killing greed
83067,Uctívači temnot
83072,"Silent Night, Deadly Night 5: Smrtící hračky"
83073,Son
83074,Černé brýle
83076,Světlo v bedně
83079,Spirit Camp
83080,Proteus
83082,Zombi kanikuly 3D
83083,Noci hrůzy
83084,K3: Prison of Hell
83086,The Unspoken
83090,The Soldier
83091,Pleasure Planet
83092,Ičči
83093,Gruham
83096,Little Bites
83097,Wet Wilderness
83098,Potichu
83099,Clona
83100,Hra na vraha 4
83102,Resolution
83103,Hříčky přírody
83104,Necro Files 2
83105,Apartment 7A
83107,V kůži mé matky
83111,1921
83112,Amber Alert
83114,Ernest proti obrovi
83116,Initiation
83117,Noční můra v Elm Street 2: Freddyho pomsta
83119,Probuzené peklo
83120,Ninja Clown Monster
83121,Stín noci
83122,M is for Make Believe
83124,Imago Mortis
83125,Jackals
83126,Prokletí domu slunečnic
83127,Sawney: Lidská flákota
83128,"Luna di miele, luna di sangue VII"
83129,Svraštělé hlavy
83130,Nati morti
83132,Bejvalka ze záhrobí
83135,The VelociPastor
83136,Breeder
83137,Srdcový vrah
83138,Smrtící láska
83140,The Borderlands
83141,Silent Night
83142,Bite
83144,Sudor frío
83145,Vřískot 3
83148,Odporná hra
83150,Berkshire County
83151,Smrtící posedlost
83152,Projekt Z aneb Jak se točí zombie film
83155,The Moonlight Man
83156,Tragedy Girls
83157,Scare Me
83158,The Mean One
83161,Suitable Flesh
83162,The Ghost of Goodnight Lane
83164,Almost Human
83165,Vetřelec z hlubin
83166,Mrtví k snídani
83167,Vraždy bez záruky
83171,Sestra II
83172,Gremlin
83173,M is for Madaline
83174,Oči šílence
83175,Studio 666
83176,Suay laak sai
83178,Bloodline Killer
83180,Blood and Sex Nightmare
83182,Maskhead
83183,Mudbrick
83184,Reeker 2
83185,Octaman
83187,Fairytale
83188,The Haunting of Sorority Row
83190,Smrtelná léčba
83193,Drive Thru
83194,Contamination .7
83196,Humans Versus Zombies
83198,Voskové muzeum 2: Ztraceni v čase
83200,Bad Meat
83201,T is for Torture Porn
83202,Cooties
83203,Stoker Hills
83204,Always Watching: A Marble Hornets Story
83205,The Last Winter
83206,Redeu ai
83208,Vesmírná střední
83209,0.0 Mhz
83210,Basket Case 3
83211,Haunted Changi
83213,Jízda do pekel 3
83215,Král temné síly
83216,Prokletí mlžného ostrova
83217,Evil Breed: The Legend of Samhain
83218,Madness
83223,The Mistress
83224,Amateur Porn Star Killer
83226,Webcam
83227,Dentista
83228,White Settlers
83229,Tajemství rodu Locků
83231,Propad do temnot
83233,Lesy
83234,Dnes v noci v lese nikdo nespí
83237,Sarah Landon and the Paranormal Hour
83238,The McPherson Tape
83240,A Horrible Way to Die
83241,Mind Body Spirit
83242,Reipu zonbi: Lust of the dead 3
83243,REC 4: Apokalypsa
83244,Untitled Horror Movie (UHM)
83245,Re-Cut
83248,"Návrat do atomového gymnázia, část 1"
83250,Boys from County Hell
83251,La posesión de Emma Evans
83252,The Retaliators
83253,F
83254,The Wind
83258,No moriré sola
83259,Hallows' Eve
83260,Get Away
83261,Uteč!
83263,Zombeer
83264,Blood Ranch
83266,Travis
83268,Blutgletscher
83271,Tell Me How I Die
83274,Klíšťata
83279,Rockula
83280,Lovec lebek
83281,Live Feed
83282,Sam's Lake
83283,"Christina, princesse de l'érotisme"
83285,Čarodějnická akademie
83286,Pohádky na dobrou smrt
83287,Ghosthunters
83288,The Offering
83289,Děs po setmění
83290,The Caretaker
83291,Dolly - Vraždící duch
83292,Life Blood
83293,Cannon Fodder
83295,Dentista 2
83296,The Houses October Built 2
83297,Pátek třináctého 5
83300,Bereavement
83301,Decay
83304,I is for Invincible
83305,Generace Zombies
83307,Kandisha
83308,Jacob
83309,Blood Car
83310,Puppet Master: The Legacy
83311,Smrtící parazit
83312,Vražedné vzpomínky
83314,There's No Such Thing
83315,V zajetí zla
83316,Plague Town
83317,Lampa
83318,The Sin
83319,Cross Bearer
83320,Takoví milí staroušci
83321,Pemandi Jenazah
83322,Nebojte se tmy
83323,Psycho Cop
83324,Alien: Alone
83325,Return to Sleepaway Camp
83326,The Bad Cookie
83327,Ústav hrůzy
83329,The Watermen
83331,In Fear
83332,Den zvířat
83333,Amityville 1992
83334,Banální prohlídka
83335,Digging to Death
83336,Ve spárech ďábla
83337,Black Mountain Side
83338,Vetřelci na Zemi
83339,Do You See What I See
83342,A Night of Horror Volume 1
83344,Suburban Gothic
83345,Howl
83348,Los habitantes
83350,Temné podezření
83352,Siri
83354,The Evil in Us
83355,Cherry Tree
83356,Lůžkový vlak hrůzy
83361,M is for Masticate
83363,Vesmírný krystal
83365,The Piper
83372,The Last House on Dead End Street
83374,Krutá rasa
83375,Třeba jsi vrah
83377,Candyman 2: Sbohem masu
83378,Masakr na holčičím večírku 2
83379,"Co jsme viděli, co jsme slyšeli"
83380,Msta přichází z močálu
83381,Ed Gein: The Butcher of Plainfield
83383,Beast of Bray Road
83384,Cruel Peter
83385,Natten har øjne
83389,B is for Badger
83390,Hall
83391,Demon Legacy
83392,14 Cameras
83393,Life After Beth
83394,V/H/S/85
83395,Living Among Us
83396,The Last Will and Testament of Rosalind Leigh
83397,The Bunker Game
83399,Magi
83400,The Dead 2: India
83401,Dying God
83402,ZMD: Zombies of Mass Destruction
83405,Cheerleader Camp
83407,Ve vysoké trávě
83408,Devil's Gate
83410,Evil Bong II: King Bong
83412,Ledová smrt III
83413,Emesis
83414,Temná sekta
83415,Annabelle
83416,Stag Night
83418,Patro smrti
83419,Elvíra - strašidelný zámek
83421,Jagged Mind
83422,Matriarch
83424,Death Factory
83426,Paprsky smrti z vesmíru
83427,The Vigil
83428,Old Friends
83429,Poslední premiéra
83430,Kanec
83432,Kemp hrůzy
83433,Kalich mé krve
83435,Chain Reaction
83436,Villmark 2
83437,Zakázaný svět
83438,Telekinez
83439,Prisoner
83441,Mrtvoly přicházejí
83442,Flight 666
83443,Hillside Cannibals
83445,The Scarehouse
83447,Red Christmas
83448,Septic Man
83450,Unrest
83452,Karanténa 2: Terminál
83453,Temná strana dveří
83454,Vraždící duch 2
83455,Inoperable
83456,Deadgirl
83457,Beyond the Rave
83459,M is for Macho
83460,Ušikubi mura
83462,TVZ: Repossessed
83465,The Convent
83466,Privorot. Čjornoje venčanije
83467,Goal of the Dead
83468,Nebezpečné pokušení
83470,Semena zla
83472,Městečko Crescent
83473,Konga
83474,Intersect
83475,Deadly Weekend
83476,Raised by Wolves
83477,Stáhni a zemřeš
83478,Cold Meat
83480,Night of Something Strange
83481,Antebellum
83482,Two Witches
83483,7 Witches
83485,Gingerdead Man 2: Passion of the Crust
83487,Cabin Fever
83491,Ghoul
83493,Sweet Insanity
83494,The Call
83495,Mrtví neumírají
83497,Vraždy v Cherry Falls
83498,Midnighters
83502,Voodoo
83503,El pacto
83505,Hlubinná hvězda šest
83507,Sea of Fear
83508,Leviathan.
83509,Bloat
83510,Karada sagaši
83511,Dark Mirror
83514,M is for Munging
83515,Amityville Terror
83518,Xtro
83519,247°F
83521,Sinister 2
83522,The Assent
83523,The Reverend
83524,Mistr loutkář
83525,Divné chování
83526,Shook
83528,Nyarlathotep
83529,Texaský masakr motorovou pilou: Počátek
83532,Slave
83535,Blood River
83537,T is for Tack
83538,Trapped Ashes
83541,Vražedný vřískot
83543,The Crucifixion
83546,Purgatorio
83547,Noční incident
83548,UFO - tajemní návštěvníci
83549,Za tři dny umřeš
83553,DarkGame
83555,Hra obětování
83556,Smrtící přízrak
83558,Charlieho farma
83560,The Nightman
83563,Ono žije
83565,Orgasmo nero
83566,The Painted
83567,Caribbean Sunrise
83568,Blooded
83569,Voorhees (Born on a Friday)
83570,Noc v domě hrůzy
83571,Street Trash
83572,Hellgate
83573,Luz
83575,The Funhouse Massacre
83576,Hra na vraha
83578,Mount Chiak
83580,Range 15
83581,La Meute
83584,Transamerican Killer
83585,Jurassic Shark 3: Seavenge
83587,13 duchů
83588,Skrytý
83589,Bela Lugosi Meets a Brooklyn Gorilla
83591,Chodící mrtví
83592,Await Further Instructions
83593,Braid
83600,The Suckling
83602,Masquerade
83604,Explicitní důkaz
83605,Forest of the Damned
83606,Únik z temnot
83607,Freakdog
83608,The Nameless Days
83609,Divoženka
83611,Replicate
83612,Vysaj si
83613,The Boy Behind the Door
83614,Nahá kořist
83615,Soul Mates
83617,Patient Seven
83618,Hra na vraha: Part II
83619,Blood Bags
83620,Plan 9
83623,The Roost
83624,Los olvidados
83625,Snuff
83626,Mørke sjeler
83628,Martyrs Lane
83630,Příběhy z temnoty
83631,Stormhouse
83632,"Dům, kde přebývá ďábel"
83635,The Theatre Bizarre
83636,Beezel
83637,Exitus interruptus - Der Tod ist erst der Anfang
83638,Otis
83640,Swallowed
83643,Killer: Malevolence 3
83644,5ive Girls
83645,Odrůbežení
83646,Beaten to Death
83647,Shepherd
83648,Primal
83649,Neznámý signál
83650,The Dark
83651,MadS
83652,Razortooth
83653,Paris by Night of the Living Dead
83654,The Cloverfield Paradox
83655,Pronásledovatelé 2
83656,Lock Up
83658,The Necro Files
83661,After...
83662,Psychoanalýza
83664,Horror in the High Desert 2: Minerva
83665,The Feast
83666,Zlé sny
83667,Sleepwalkers
83668,Paranormal Activity: The Ghost Dimension
83669,Seklusyon
83670,Koncert hrůzy
83671,Nářek duší
83672,Hatch
83673,Slaughtered
83674,Piraňa
83676,Game of Death
83678,I'll Take Your Dead
83679,"Silent Night, Zombie Night"
83682,Stopy zmizelých
83683,Borrower - Oběti bez hlav
83687,Madelines
83689,30 a půl metru
83691,The Last Broadcast
83694,Here After - L’Aldilà
83695,The Moonlight Man 2
83696,Dark Circles
83697,México Bárbaro
83698,Tajemství starého hotelu
83700,Popkorn
83701,Last of the Living
83702,Summer Camp
83703,Abnormal Activity
83704,Zombies Vs. Strippers
83705,The Hangman
83706,The Lesson
83707,Svatba upírů
83708,Mořská horečka
83711,Jack Goes Home
83712,Scourge
83713,Seven Cemeteries
83714,Founders Day
83716,Šťastné a krvavé
83719,Chladné oči v plamenech
83720,Oltář zla
83721,Deleter
83723,Vittra
83725,Nová dcera
83726,Rejkjavík
83727,Cuckoo
83729,The Devil's Hand
83731,Vykosťovač
83732,Školák vlkodlak
83733,Poslední horor
83734,Deb a noc oživlých mrtvol
83735,Mamka a taťka
83737,The Hollow Child
83738,Jarní rituál
83739,Pledge
83740,Scarecrows
83741,The Dare
83743,Killjoy 3
83744,Hory zalité krví
83745,Mastnej škrtič
83746,Monster Party
83747,Sweetheart
83748,Hardgore
83750,Vyléčení
83751,"Fear, Inc."
83752,Nails
83753,Phobias
83754,Zombie Women of Satan
83756,Night Shift
83757,The Banshee Chapter
83758,Dark Reel
83759,Jesse James Meets Frankenstein's Daughter
83760,The Marshes
83761,The Monster Beneath Us
83762,Awoken
83765,1303 góšicu
83767,Špatná karma
83770,Bikini Girls on Ice
83772,Road Games
83773,Killers Within
83774,Para Elisa
83776,Antibirth
83777,Zabijáci z vesmíru
83778,Satanic Panic
83779,El último fin de semana
83780,The Gallows Act II
83781,Johnny & Clyde
83782,Laid to Rest
83785,Seventh Moon
83788,Murder-Set-Pieces
83789,Let Her Out
83792,Lhong tor tai
83793,Divoká zvěř
83795,Hrůzné zrůdy
83796,Colour from the Dark
83798,Slaughter Disc
83799,Chum thaang rot fai phii
83800,Hell Hole
83801,Slasher.com
83802,La pasajera
83803,The Dead Room
83805,Dead Awake
83806,Penzion pro svobodné dámy
83807,Monstrum ze dna oceánu
83808,Shi cheng
83809,The Priest
83811,The Abandon
83812,Humane
83814,Devojacki bunar
83816,Blood Night
83819,Run! Bitch Run!
83820,Kingdom Come
83821,Virus:32
83823,The Inner Room
83825,Karetní hráč
83826,Džuon: Kuroi šódžo
83829,Bane
83830,Madison County
83831,Hallettsville
83833,Headless
83834,Nesvatý
83835,When the Lights Went Out
83836,Reipu Zonbi: Lust of the Dead
83837,Killjoy Goes to Hell
83838,Malicious
83839,Bells of Innocence
83842,Oktanový kult
83843,Oni přicházejí
83845,Žalm 21
83847,Choking Hazard
83849,The Zombie King
83850,"Mozek, který neměl zemřít"
83851,Spin the Bottle
83852,Převtělení
83853,All Through the House
83854,The Front Room
83856,Antidote
83857,Kniha krve
83858,Spolek nemilosrdných
83860,Dismal
83861,Little Evil
83862,YellowBrickRoad
83863,Snatchers
83864,Star Leaf
83865,Masakr v Alzatrazu
83867,Wreckage
83868,Sader Ridge
83869,Maid Droid
83870,Strach v přímém přenosu
83871,The Barrens
83873,Megalománie
83875,Hotel of the Damned
83876,"Hunt Her, Kill Her"
83877,Fender Bender
83878,The Night Watchmen
83880,Věčná kletba
83881,Ve stínu hor
83882,Mask Maker
83883,Dům IV
83884,The Cellar Door
83885,Antrum: The Deadliest Film Ever Made
83887,"Lovely, Dark, and Deep"
83888,Prokletí Salemu
83889,Bad Hair
83890,The Ghostmaker
83891,Oni 2: Noční kořist
83892,The Human Race
83895,ATM
83898,Phoonk 2
83899,Astrální faktor - Znovu předvolba 976
83901,Superhost
83902,Candy Land
83904,Vrah s chromovou maskou
83905,Psycho 3
83906,Hollows Grove
83907,Hypothermia
83908,Nekromancie
83910,The Rezort
83911,Insidious: Červené dveře
83912,The Carmilla Movie
83913,Ghost Month
83915,Replace
83916,Halloween: H33
83919,Zlo tě slyší
83920,Lekce umírání
83922,Leatherface - zrození
83926,Happy Hunting
83927,Valdemarův odkaz - Přízrak z minulosti
83928,Stay Indoors
83929,Nebezpečná svůdnice
83931,Dead Rising: Endgame
83932,Temná tajemství kuchyně
83933,Snuff-Movie
83934,Born of Earth
83936,Ghost Machine
83937,Don't Sleep
83938,The Fear Chamber
83940,Amateur Porn Star Killer 3: The Final Chapter
83941,Mother Krampus
83943,Pět nocí u Freddyho
83945,New Life
83946,Breeders
83947,The Stairs
83949,Útok včelích panenek
83951,Honeydew
83952,"Utíkej, miláčku, utíkej"
83953,ReGOREgitated Sacrifice
83954,Lost After Dark
83955,Apartment 212
83956,Kniha smrti
83957,Pyewacket
83958,Baskin
83961,L'ultima orgia del III Reich
83962,Horror Story
83963,Hrůzostrašný Baron
83965,The Puppetman
83966,Tarot
83968,Surveillance
83969,The Hoarder
83970,Masakr mikrovlnnou troubou
83971,El páramo
83972,Fields of the Dead
83973,The Girl in the Photographs
83974,Emergo
83980,Solos
83982,Všechny roztleskávačky zemřou
83983,Hypnotic
83984,Krvavý Valentýn
83985,Lake Dead
83986,Sestra Smrt
83987,"Silent Night, Deadly Night Part 2"
83988,Chuckyho sémě
83989,Klub hrůzy
83990,Ryba zabiják
83991,Lumberjack Man
83993,Haunt
83994,Krokodýl zabiják
83995,Téměř mrtví
83998,Blood Vessel
83999,T is for Trepan
84000,Rift
84003,Pollen
84004,Rogue River
84006,Exit 14
84007,The Penny Dreadful Picture Show
84008,Beyond the Gates
84009,Family Demons
84012,Ďábelský kruh
84017,Vindicta
84018,The Laundromat
84021,The Ghost Within
84022,Recovery
84023,Starve Acre
84026,Trench 11
84027,Nemrtvý virus
84028,Grizzly II: The Predator
84031,Damon's Revenge
84032,Rodokmen
84033,Blood Is Blood
84034,Sociopathia
84035,Late Checkout
84038,V temnotách
84039,Vzkříšení zatracených
84040,The Drone
84041,Bohyně lásky kanibalů
84043,Dům démonů
84044,Bloodthirsty
84045,The Special
84046,Dávné rituály
84047,Among Friends
84048,Houbičky
84049,„Babičky dobíjejte přesně!“
84050,Nakažení smrtí
84051,Skinwalker Ranch
84054,V/H/S/99
84056,Zakljaťje. Šopot vedm
84057,Zvrhlý skřet
84058,The Mare
84059,Dinner Date
84060,Help Me I Am Dead - Die Geschichte der Anderen
84062,Sharp Teeth
84063,Valentine
84064,All Hallows' Eve 2
84066,Zkázonosná kometa
84067,Havraní kronika
84068,Metro
84069,Hra na utrpení
84070,Slashers
84071,Tomie Unlimited
84072,Werewolves Within
84073,Baby Shower
84074,Texas Vibrator Massacre
84075,Dashcam
84077,Oáza zombie
84081,Trespassing
84082,The Traveler
84083,Inner Demons
84084,Wicked Lake
84085,FirstBorn
84086,The Mangler Reborn
84088,Ostrov živých
84090,Insane
84091,The Blair Witch Rejects
84092,Krvavé Vánoce
84093,Lesní čarodějnice
84095,M is for Mess
84096,Zvrácená sestrička
84097,Christmas with Cookie
84098,Dis
84099,Hangman
84100,The Wizard of Gore
84101,Živí nebo (ne)mrtví
