,název
594,Stopy spravedlnosti
595,Neporazitelný II: Poslední zůstává
596,Rebel
597,Eight Diagram Pole Fighter
598,Ocelová pěst
599,Stopař
600,Figurant
601,The Knight of Hope
602,Jack Reacher: Poslední výstřel
603,Přepadení 13. okrsku
604,Bratři Bluesovi
605,Není čas zemřít
606,Dvojníci
607,Gokudó sengokuši: Fudó
608,Dragon Ball Super: Broly
609,Kókaku kidótai: Arise – Border 1: Ghost Pain
610,Spider-Man 2
611,We Are Blood
612,Zahraniční dopisovatel
613,Superman: Soudný den
614,Rebelka
615,Soumrak mrtvých
616,Appleseed
617,Perutě pomsty
618,Bo ming chan dao duo ming qiang
619,Od soumraku do úsvitu
620,Superman
621,Barbar Conan
622,Nitro Circus
623,Mizerové
624,Jsem s tebou
625,Liga spravedlivých: Krize na dvou Zemích
626,Král psanec
627,Piráti z Karibiku: Truhla mrtvého muže
628,Dragon Ball Z: Fukkacu no fusion!! Gokú to Vegeta
629,Spider-Man: Sins of the Fathers
630,Poslední křížová výprava (2. část)
631,Výkupné
632,Správci osudu
633,Strýček Jack
634,Blade
635,Letní válka
636,San de huo shang yu chong mi liu
637,Buffy the Vampire Slayer: Season 8 Motion Comic
638,"Pluj tiše, pluj hluboko"
639,Černočerná tma
640,Temný úsvit
641,Komando
642,Kobiety mafii
643,The Death of Superman
644,Star Trek VI: Neobjevená země
645,Red Force 4
646,Ant-Man
647,Dead Right
648,Mé druhé já
649,Úder otevřenou dlaní
650,Ztřeštění poldové
651,Respekt
652,"Tarzan, syn divočiny"
653,Armageddon
654,Stav milosti
655,Takoví normální zabijáci
656,Boku no Hero Academia the Movie 1: Futari no Hero
657,Zatóiči gojótabi
658,Kronika psaná mečem
659,"Batman: The Long Halloween, Part Two"
660,Kung-fu nářez
661,Starsky & Hutch
662,Šingeki no kjodžin OAD
663,Příběh rytíře
664,Hraniční hlídka
665,Pojízdná kantýna
666,Serenity
667,A Chinese Ghost Story
668,Severozápad
669,Fúrin kazan
670,Ruróni Kenšin: Meidži kenkaku romantan – Išin šiši e no Requiem
